,0
0,31.5 EDT		T10		  T20			T30
1,"[3.017407428031312, 2.683078837648797, 2.2282554033473785, 2.0612466216291203]"
2,63
3,"[2.2857398918030656, 2.326096245741641, 2.096815857497236, 1.9208923055772966]"
4,125
5,"[0.771126866079303, 1.6544090892233365, 1.2039242691370844, 1.1439669683960965]"
6,250
7,"[1.0660726563362748, 0.9497360001711246, 0.8283784726558236, 0.8684298770510589]"
8,500
9,"[0.8575709711742391, 1.021568900327725, 0.8983479829811971, 0.9477448497310064]"
10,1000
11,"[0.7239283420473827, 1.0521791382889882, 0.9401670834965277, 0.9741110740172712]"
12,2000
13,"[0.6865177985668571, 0.6994735743358665, 0.7777931058757322, 0.8183497564275013]"
14,4000
15,"[0.5479290671481338, 0.6136101541314024, 0.6999486384969742, 0.7395014868629083]"
16,8000
17,"[0.4921081425381504, 0.5392711683216512, 0.5647654619450363, 0.5961939130340839]"
18,16000
19,"[0.4132350015579935, 0.45545727833487365, 0.47747866672980493, 0.4971638724729106]"
